10 15
.........T.....
XX...XX...XXXXX
X.........G....
XXXXXXX...XXX..
....XG....X....
XX..XGX...XXXXX
....XXX........
XX...XX.K.XXXXX
S..............
XX...XX...XXXXX
0,8,3,11,2,6,4,5,4
1,8,3,12,2,7,4,5,5
2,8,3,13,2,8,4,5,4
3,8,3,14,2,9,4,6,4
4,8,3,13,2,8,4,7,4
5,8,3,12,2,7,4,8,4
6,8,3,11,2,6,4,9,4
7,8,3,10,2,5,4,8,4
8,8,3,9,2,6,4,7,4
8,7,3,8,2,7,4,6,4
8,6,3,7,2,8,4,5,4
8,5,3,6,2,9,4,5,5
8,4,3,5,2,9,3,5,4
8,3,3,4,2,9,2,5,5
8,2,3,3,2,9,1,5,4
8,1,3,2,2,9,0,5,5
8,0,3,1,2,8,0,5,4
8,0,3,2,2,7,0,5,5
9,0,3,3,2,6,0,5,4
